"Kod"	"Överordnad kod"	"Titel"	"Förkortning(ar)"	"Beskrivning"	"Exempel"	"Innefattar"	"Utesluter"	"Kodningsinformation"
"VEL58"	"VEL"	"Annan öppen operation på AV-graft eller AV-fistel från a. radialis"	""	""	""	""	""	""
"VEL65"	"VEL"	"Annan öppen operation på a. ulnaris"	""	""	""	""	""	""
"VEL68"	"VEL"	"Annan öppen operation på AV-graft eller AV-fistel från a. ulnaris"	""	""	""	""	""	""
"VEL98"	"VEL"	"Annan öppen operation på AV-graft eller AV-fistel från annan artär i a. subclavias utbredningsområde"	""	""	""	""	""	""
"VEL99"	"VEL"	"Annan öppen operation på annan artär i a. subclavias utbredningsområde"	""	""	""	""	""	""
"VEN"	"VE"	"Perkutan transluminal angioplastik (PTA) eller perkutan subintimal angioplastik (SAP) i a. subclavia och dess grenar"	""	""	""	""	""	""
"VEN00"	"VEN"	"Perkutan transluminal angioplastik (PTA) eller perkutan subintimal angioplastik (SAP) i tidigare rekonstruktion i eller från artär i a. subclavias utbredningsområde"	""	""	""	""	""	""
"VEN11"	"VEN"	"Perkutan transluminal angioplastik (PTA) eller perkutan subintimal angioplastik (SAP) i a. subclavia"	""	""	""	""	""	"Vid operation för thoracic outlet syndrome (TOS), se GAE40"
"VEN18"	"VEN"	"Perkutan transluminal angioplastik (PTA) eller perkutan subintimal angioplastik (SAP) i AV-graft eller AV-fistel från a. subclavia"	""	""	""	""	""	""
"VEN22"	"VEN"	"Perkutan transluminal angioplastik (PTA) eller perkutan subintimal angioplastik (SAP) i a. vertebralis"	""	""	""	""	""	""
"VEN33"	"VEN"	"Perkutan transluminal angioplastik (PTA) eller perkutan subintimal angioplastik (SAP) i a. axillaris"	""	""	""	""	""	"Vid operation för thoracic outlet syndrome (TOS), se GAE40"
"VEN38"	"VEN"	"Perkutan transluminal angioplastik (PTA) eller perkutan subintimal angioplastik (SAP) i AV-graft eller AV-fistel från a. axillaris"	""	""	""	""	""	""
"VEN44"	"VEN"	"Perkutan transluminal angioplastik (PTA) eller perkutan subintimal angioplastik (SAP) i a. brachialis"	""	""	""	""	""	""
"VEN48"	"VEN"	"Perkutan transluminal angioplastik (PTA) eller perkutan subintimal angioplastik (SAP) i AV-graft eller AV-fistel från a. brachialis"	""	""	""	""	""	""
"VEN55"	"VEN"	"Perkutan transluminal angioplastik (PTA) eller perkutan subintimal angioplastik (SAP) i a. radialis"	""	""	""	""	""	""
"VEN58"	"VEN"	"Perkutan transluminal angioplastik (PTA) eller perkutan subintimal angioplastik (SAP) i AV-graft eller AV-fistel från a. radialis"	""	""	""	""	""	""
"VEN65"	"VEN"	"Perkutan transluminal angioplastik (PTA) eller perkutan subintimal angioplastik (SAP) i a. ulnaris"	""	""	""	""	""	""
"VEN68"	"VEN"	"Perkutan transluminal angioplastik (PTA) eller perkutan subintimal angioplastik (SAP) i AV-graft eller AV-fistel från a. ulnaris"	""	""	""	""	""	""
"VEN98"	"VEN"	"Perkutan transluminal angioplastik (PTA) eller perkutan subintimal angioplastik (SAP) i AV-graft eller AV-fistel från annan artär i a. subclavias utbredningsområde"	""	""	""	""	""	""
"VEN99"	"VEN"	"Perkutan transluminal angioplastik (PTA) eller perkutan subintimal angioplastik (SAP) i annan artär i a. subclavias utbredningsområde"	""	""	""	""	""	""
"VEP"	"VE"	"Endovaskulär inläggning av stent i a. subclavia och dess grenar"	""	""	""	""	""	""
"VEP00"	"VEP"	"Endovaskulär inläggning av stent i tidigare rekonstruktion i eller från artär i a. subclavias utbredningsområde"	""	""	""	""	""	""
"VEP11"	"VEP"	"Endovaskulär inläggning av stent i a. subclavia"	""	""	""	""	""	"Vid operation för thoracic outlet syndrome (TOS), se GAE40"
"VEP18"	"VEP"	"Endovaskulär inläggning av stent i AV-graft eller AV-fistel från a. subclavia"	""	""	""	""	""	""
"VEP22"	"VEP"	"Endovaskulär inläggning av stent i a. vertebralis"	""	""	""	""	""	""
"VEP33"	"VEP"	"Endovaskulär inläggning av stent i a. axillaris"	""	""	""	""	""	"Vid operation för thoracic outlet syndrome (TOS), se GAE40"
"VEP38"	"VEP"	"Endovaskulär inläggning av stent i AV-graft eller AV-fistel från a. axillaris"	""	""	""	""	""	""
"VEP44"	"VEP"	"Endovaskulär inläggning av stent i a. brachialis"	""	""	""	""	""	""
"VEP48"	"VEP"	"Endovaskulär inläggning av stent i AV-graft eller AV-fistel från a. brachialis"	""	""	""	""	""	""
"VEP55"	"VEP"	"Endovaskulär inläggning av stent i a. radialis"	""	""	""	""	""	""
"VEP58"	"VEP"	"Endovaskulär inläggning av stent i AV-graft eller AV-fistel från a. radialis"	""	""	""	""	""	""
"VEP65"	"VEP"	"Endovaskulär inläggning av stent i a. ulnaris"	""	""	""	""	""	""
"VEP68"	"VEP"	"Endovaskulär inläggning av stent i AV-graft eller AV-fistel från a. ulnaris"	""	""	""	""	""	""
"VEP98"	"VEP"	"Endovaskulär inläggning av stent i AV-graft eller AV-fistel från annan artär i a. subclavias utbredningsområde"	""	""	""	""	""	""
"VEP99"	"VEP"	"Endovaskulär inläggning av stent i annan artär i a. subclavias utbredningsområde"	""	""	""	""	""	""
"VEQ"	"VE"	"Endovaskulär inläggning av stentgraft i a. subclavia och dess grenar"	""	""	""	""	""	""
"VEQ00"	"VEQ"	"Endovaskulär inläggning av stentgraft i tidigare rekonstruktion i eller från artär i a. subclavias utbredningsområde"	""	""	""	""	""	""
"VEQ11"	"VEQ"	"Endovaskulär inläggning av stentgraft i a. subclavia"	""	""	""	""	""	"Vid operation för thoracic outlet syndrome (TOS), se GAE40"
"VEQ22"	"VEQ"	"Endovaskulär inläggning av stentgraft i a. vertebralis"	""	""	""	""	""	""
"VEQ33"	"VEQ"	"Endovaskulär inläggning av stentgraft i a. axillaris"	""	""	""	""	""	"Vid operation för thoracic outlet syndrome (TOS), se GAE40"
"VEQ44"	"VEQ"	"Endovaskulär inläggning av stentgraft i a. brachialis"	""	""	""	""	""	""
"VEQ55"	"VEQ"	"Endovaskulär inläggning av stentgraft i a. radialis"	""	""	""	""	""	""
"VEQ65"	"VEQ"	"Endovaskulär inläggning av stentgraft i a. ulnaris"	""	""	""	""	""	""
"VEQ99"	"VEQ"	"Endovaskulär inläggning av stentgraft i annan artär i a. subclavias utbredningsområde"	""	""	""	""	""	""
"VER"	"VE"	"Lokal trombolys i a. subclavia och dess grenar"	""	""	""	""	""	""
"VER00"	"VER"	"Lokal trombolys i tidigare rekonstruktion i eller från artär i a. subclavias utbredningsområde"	""	""	""	""	""	""
"VER11"	"VER"	"Lokal trombolys i a. subclavia"	""	""	""	""	""	"Vid operation för thoracic outlet syndrome (TOS), se GAE40"
"VER18"	"VER"	"Lokal trombolys i AV-graft eller AV-fistel från a. subclavia"	""	""	""	""	""	""
"VER22"	"VER"	"Lokal trombolys i a. vertebralis"	""	""	""	""	""	""
"VER33"	"VER"	"Lokal trombolys i a. axillaris"	""	""	""	""	""	"Vid operation för thoracic outlet syndrome (TOS), se GAE40"
"VER38"	"VER"	"Lokal trombolys i AV-graft eller AV-fistel från a. axillaris"	""	""	""	""	""	""
"VER44"	"VER"	"Lokal trombolys i a. brachialis"	""	""	""	""	""	""
"VER48"	"VER"	"Lokal trombolys i AV-graft eller AV-fistel från a. brachialis"	""	""	""	""	""	""
"VER55"	"VER"	"Lokal trombolys i a. radialis"	""	""	""	""	""	""
"VER58"	"VER"	"Lokal trombolys i AV-graft eller AV-fistel från a. radialis"	""	""	""	""	""	""
"VER65"	"VER"	"Lokal trombolys i a. ulnaris"	""	""	""	""	""	""
"VER68"	"VER"	"Lokal trombolys i AV-graft eller AV-fistel från a. ulnaris"	""	""	""	""	""	""
"VER98"	"VER"	"Lokal trombolys i AV-graft eller AV-fistel från annan artär i a. subclavias utbredningsområde"	""	""	""	""	""	""
"VER99"	"VER"	"Lokal trombolys i annan artär i a. subclavias utbredningsområde"	""	""	""	""	""	""
"VET"	"VE"	"Endovaskulär inläggning av ockluderande material i a. subclavia och dess grenar"	""	""	""	""	""	""
"VET00"	"VET"	"Endovaskulär inläggning av ockluderande material i tidigare rekonstruktion i eller från artär i a. subclavias utbredningsområde"	""	""	""	""	""	""
"VET11"	"VET"	"Endovaskulär inläggning av ockluderande material i a. subclavia"	""	""	""	""	""	""
"VET18"	"VET"	"Endovaskulär inläggning av ockluderande material i AV-graft eller AV-fistel från a. subclavia"	""	""	""	""	""	""
"VET22"	"VET"	"Endovaskulär inläggning av ockluderande material i a. vertebralis"	""	""	""	""	""	""
"VET33"	"VET"	"Endovaskulär inläggning av ockluderande material i a. axillaris"	""	""	""	""	""	""
"VET38"	"VET"	"Endovaskulär inläggning av ockluderande material i AV-graft eller AV-fistel från a. axillaris"	""	""	""	""	""	""
"VET44"	"VET"	"Endovaskulär inläggning av ockluderande material i a. brachialis"	""	""	""	""	""	""
"VET48"	"VET"	"Endovaskulär inläggning av ockluderande material i AV-graft eller AV-fistel från a. brachialis"	""	""	""	""	""	""
"VET55"	"VET"	"Endovaskulär inläggning av ockluderande material i a. radialis"	""	""	""	""	""	""
"VET58"	"VET"	"Endovaskulär inläggning av ockluderande material i AV-graft eller AV-fistel från a. radialis"	""	""	""	""	""	""
"VET65"	"VET"	"Endovaskulär inläggning av ockluderande material i a. ulnaris"	""	""	""	""	""	""
"VET68"	"VET"	"Endovaskulär inläggning av ockluderande material i AV-graft eller AV-fistel från a. ulnaris"	""	""	""	""	""	""
"VET98"	"VET"	"Endovaskulär inläggning av ockluderande material i AV-graft eller AV-fistel från annan artär i a. subclavias utbredningsområde"	""	""	""	""	""	""
"VET99"	"VET"	"Endovaskulär inläggning av ockluderande material i annan artär i a. subclavias utbredningsområde"	""	""	""	""	""	""
"VEU"	"VE"	"Endovaskulärt uttagande av främmande material från a. subclavia och dess grenar"	""	""	""	""	""	""
"VEU00"	"VEU"	"Endovaskulärt uttagande av främmande material från tidigare rekonstruktion i a. subclavias utbredningsområde"	""	""	""	""	""	""
"VEU11"	"VEU"	"Endovaskulärt uttagande av främmande material från a. subclavia"	""	""	""	""	""	""
"VEU18"	"VEU"	"Endovaskulärt uttagande av främmande material från AV-graft eller AV-fistel från a. subclavia"	""	""	""	""	""	""
"VEU22"	"VEU"	"Endovaskulärt uttagande av främmande material från a. vertebralis"	""	""	""	""	""	""
"VEU33"	"VEU"	"Endovaskulärt uttagande av främmande material från a. axillaris"	""	""	""	""	""	""
"VEU38"	"VEU"	"Endovaskulärt uttagande av främmande material från AV-graft eller AV-fistel från a. axillaris"	""	""	""	""	""	""
"VEU44"	"VEU"	"Endovaskulärt uttagande av främmande material från a. brachialis"	""	""	""	""	""	""
"VEU48"	"VEU"	"Endovaskulärt uttagande av främmande material från AV-graft eller AV-fistel från a. brachialis"	""	""	""	""	""	""
"VEU55"	"VEU"	"Endovaskulärt uttagande av främmande material från a. radialis"	""	""	""	""	""	""
"VEU58"	"VEU"	"Endovaskulärt uttagande av främmande material från AV-graft eller AV-fistel från a. radialis"	""	""	""	""	""	""
"VEU65"	"VEU"	"Endovaskulärt uttagande av främmande material från a. ulnaris"	""	""	""	""	""	""
"VEU68"	"VEU"	"Endovaskulärt uttagande av främmande material från AV-graft eller AV-fistel från a. ulnaris"	""	""	""	""	""	""
"VEU98"	"VEU"	"Endovaskulärt uttagande av främmande material från AV-graft eller AV-fistel från annan artär i a. subclavias utbredningsområde"	""	""	""	""	""	""
"VEU99"	"VEU"	"Endovaskulärt uttagande av främmande material från annan artär i a. subclavias utbredningsområde"	""	""	""	""	""	""
"VEW"	"VE"	"Annan endovaskulär operation i a. subclavia och dess grenar"	""	""	""	""	""	""
"VEW00"	"VEW"	"Annan endovaskulär operation i tidigare rekonstruktion i a. subclavias utbredningsområde"	""	""	""	""	""	""
"VEW11"	"VEW"	"Annan endovaskulär operation i a. subclavia"	""	""	""	""	""	""
"VEW18"	"VEW"	"Annan endovaskulär operation i AV-graft eller AV-fistel från a. subclavia"	""	""	""	""	""	""
"VEW22"	"VEW"	"Annan endovaskulär operation i a. vertebralis"	""	""	""	""	""	""
"VEW33"	"VEW"	"Annan endovaskulär operation i a. axillaris"	""	""	""	""	""	""
"VEW38"	"VEW"	"Annan endovaskulär operation i AV-graft eller AV-fistel från a. axillaris"	""	""	""	""	""	""
"VEW44"	"VEW"	"Annan endovaskulär operation i a. brachialis"	""	""	""	""	""	""
"VEW48"	"VEW"	"Annan endovaskulär operation i AV-graft eller AV-fistel från a. brachialis"	""	""	""	""	""	""
"VEW55"	"VEW"	"Annan endovaskulär operation i a. radialis"	""	""	""	""	""	""
"VEW58"	"VEW"	"Annan endovaskulär operation i AV-graft eller AV-fistel från a. radialis"	""	""	""	""	""	""
"VEW65"	"VEW"	"Annan endovaskulär operation i a. ulnaris"	""	""	""	""	""	""
"VEW68"	"VEW"	"Annan endovaskulär operation i AV-graft eller AV-fistel från a. ulnaris"	""	""	""	""	""	""
"VEW98"	"VEW"	"Annan endovaskulär operation i AV-graft eller AV-fistel från annan artär i a. subclavias utbredningsområde"	""	""	""	""	""	""
"VEW99"	"VEW"	"Annan endovaskulär operation i annan artär i a. subclavias utbredningsområde"	""	""	""	""	""	""
"VG"	"V"	"Operationer på visceralartärer"	""	""	""	""	""	""
"VGA"	"VG"	"Öppen exploration av visceralartär"	""	""	""	""	""	""
"VGA00"	"VGA"	"Öppen exploration av tidigare rekonstruktion i eller från visceralartär"	""	""	""	""	""	""
"VGA11"	"VGA"	"Öppen exploration av truncus coeliacus"	""	""	""	""	""	""
"VGA23"	"VGA"	"Öppen exploration av a. lienalis"	""	""	""	""	""	""
"VGA34"	"VGA"	"Öppen exploration av a. mesenterica superior"	""	""	""	""	""	""
"VGA45"	"VGA"	"Öppen exploration av a. renalis"	""	""	""	""	""	""
"VGA99"	"VGA"	"Öppen exploration av annan visceralartär"	""	""	""	""	""	""
"VGB"	"VG"	"Sutur på visceralartär"	""	""	""	""	""	""
"VGB00"	"VGB"	"Sutur på tidigare rekonstruktion i eller från visceralartär"	""	""	""	""	""	""
"VGB11"	"VGB"	"Sutur på truncus coeliacus"	""	""	""	""	""	""
"VGB23"	"VGB"	"Sutur på a. lienalis"	""	""	""	""	""	""
"VGB34"	"VGB"	"Sutur på a. mesenterica superior"	""	""	""	""	""	""
"VGB45"	"VGB"	"Sutur på a. renalis"	""	""	""	""	""	""
"VGB99"	"VGB"	"Sutur på annan visceralartär"	""	""	""	""	""	""
"VGC"	"VG"	"Ligatur av visceralartär"	""	""	""	""	""	""
"VGC00"	"VGC"	"Ligatur av tidigare rekonstruktion i eller från visceralartär"	""	""	""	""	""	""
"VGC11"	"VGC"	"Ligatur av truncus coeliacus"	""	""	""	""	""	""
"VGC23"	"VGC"	"Ligatur av a. lienalis"	""	""	""	""	""	""
"VGC34"	"VGC"	"Ligatur av a. mesenterica superior"	""	""	""	""	""	""
"VGC45"	"VGC"	"Ligatur av a. renalis"	""	""	""	""	""	""
"VGC56"	"VGC"	"Ligatur och delning av a. testicularis"	""	""	""	""	""	""
"VGC67"	"VGC"	"Ligatur av a. mesenterica inferior"	""	""	""	""	""	""
"VGC99"	"VGC"	"Ligatur av annan visceralartär"	""	""	""	""	""	""
"VGE"	"VG"	"Trombektomi eller embolektomi i visceralartär"	""	""	""	""	""	""
"VGE00"	"VGE"	"Trombektomi eller embolektomi i tidigare rekonstruktion i eller från visceralartär"	""	""	""	""	""	""
"VGE11"	"VGE"	"Trombektomi eller embolektomi i truncus coeliacus"	""	""	""	""	""	""
"VGE23"	"VGE"	"Trombektomi eller embolektomi i a. lienalis"	""	""	""	""	""	""
"VGE34"	"VGE"	"Trombektomi eller embolektomi i a. mesenterica superior"	""	""	""	""	""	""
"VGE45"	"VGE"	"Trombektomi eller embolektomi i a. renalis"	""	""	""	""	""	""
"VGE99"	"VGE"	"Trombektomi eller embolektomi i annan visceralartär"	""	""	""	""	""	""
"VGF"	"VG"	"Endartärektomi i visceralartär"	""	""	""	""	""	""
"VGF11"	"VGF"	"Endartärektomi i truncus coeliacus"	""	""	""	""	""	""
"VGF23"	"VGF"	"Endartärektomi i a. lienalis"	""	""	""	""	""	""
"VGF34"	"VGF"	"Endartärektomi i a. mesenterica superior"	""	""	""	""	""	""
"VGF45"	"VGF"	"Endartärektomi i a. renalis"	""	""	""	""	""	""
"VGF99"	"VGF"	"Endartärektomi i annan visceralartär"	""	""	""	""	""	""
"VGG"	"VG"	"Öppen plastik på visceralartär"	""	""	""	""	""	""
"VGG00"	"VGG"	"Öppen plastik på tidigare rekonstruktion i eller från visceralartär"	""	""	""	""	""	""
"VGG11"	"VGG"	"Öppen plastik på truncus coeliacus"	""	""	""	""	""	""
"VGG23"	"VGG"	"Öppen plastik på a. lienalis"	""	""	""	""	""	""
"VGG34"	"VGG"	"Öppen plastik på a. mesenterica superior"	""	""	""	""	""	""
"VGG45"	"VGG"	"Öppen plastik på a. renalis"	""	""	""	""	""	""
"VGG99"	"VGG"	"Öppen plastik på annan visceralartär"	""	""	""	""	""	""
"VGH"	"VG"	"Transposition av visceralartär"	""	""	""	""	"Vid öppen ortotopisk revaskularisering av visceralartärer vid aortarekonstruktion, se VBH16, VBH26, VBH37, VBH56"	""
"VGH39"	"VGH"	"Transposition av a. mesenterica superior"	""	""	""	""	"Vid öppen ortotopisk revaskularisering av visceralartärer vid aortarekonstruktion, se VBH16, VBH26, VBH37, VBH56"	""
"VGH49"	"VGH"	"Transposition av a. renalis"	""	""	""	""	"Vid öppen ortotopisk revaskularisering av visceralartärer vid aortarekonstruktion, se VBH16, VBH26, VBH37, VBH56"	""
"VGH99"	"VGH"	"Transposition av annan visceralartär"	""	""	""	""	"Vid öppen ortotopisk revaskularisering av visceralartärer vid aortarekonstruktion, se VBH16, VBH26, VBH37, VBH56"	""
"VGJ"	"VG"	"Bypass från eller interpositionsgraft i visceralartär"	""	""	""	""	""	""
"VGJ00"	"VGJ"	"Bypass från eller interpositionsgraft i tidigare rekonstruktion i eller från visceralartär"	""	""	""	""	""	""
"VGJ11"	"VGJ"	"Interpositionsgraft i truncus coeliacus"	""	""	""	""	""	""
"VGJ19"	"VGJ"	"Bypass från truncus coeliacus"	""	""	""	""	""	""
"VGJ23"	"VGJ"	"Interpositionsgraft i a. lienalis"	""	""	""	""	""	""
"VGJ29"	"VGJ"	"Bypass från a. lienalis"	""	""	""	""	""	""
"VGJ34"	"VGJ"	"Interpositionsgraft i a. mesenterica superior"	""	""	""	""	""	""
"VGJ39"	"VGJ"	"Bypass från a. mesenterica superior"	""	""	""	""	""	""
"VGJ45"	"VGJ"	"Interpositionsgraft i a. renalis"	""	""	""	""	""	""
"VGJ49"	"VGJ"	"Bypass från a. renalis"	""	""	""	""	""	""
"VGJ99"	"VGJ"	"Interpositionsgraft i eller bypass från annan visceralartär"	""	""	""	""	""	""
"VGK"	"VG"	"Öppet borttagande av graft eller främmande material från visceralartär"	""	""	""	""	""	""
"VGK10"	"VGK"	"Öppet borttagande av graft eller främmande material från truncus coeliacus"	""	""	""	""	""	""
"VGK20"	"VGK"	"Öppet borttagande av graft eller främmande material från a. lienalis"	""	""	""	""	""	""
"VGK30"	"VGK"	"Öppet borttagande av graft eller främmande material från a. mesenterica superior"	""	""	""	""	""	""
"VGK40"	"VGK"	"Öppet borttagande av graft eller främmande material från a. renalis"	""	""	""	""	""	""
"VGK60"	"VGK"	"Öppet borttagande av graft eller främmande material från a. mesenterica inferior"	""	""	""	""	""	""
"VGK90"	"VGK"	"Öppet borttagande av graft eller främmande material från annan visceralartär"	""	""	""	""	""	""
"VGL"	"VG"	"Annan öppen operation på visceralartär"	""	""	""	""	""	""
"VGL00"	"VGL"	"Annan öppen operation på tidigare rekonstruktion i eller från visceralartär"	""	""	""	""	""	""
"VGL11"	"VGL"	"Annan öppen operation på truncus coeliacus"	""	""	""	""	""	""
"VGL23"	"VGL"	"Annan öppen operation på a. lienalis"	""	""	""	""	""	""
"VGL34"	"VGL"	"Annan öppen operation på a. mesenterica superior"	""	""	""	""	""	""
"VGL45"	"VGL"	"Annan öppen operation på a. renalis"	""	""	""	""	""	""
"VGL99"	"VGL"	"Annan öppen operation på annan visceralartär"	""	""	""	""	""	""
"VGN"	"VG"	"Perkutan transluminal angioplastik (PTA) eller perkutan subintimal angioplastik (SAP) i visceralartär"	""	""	""	""	""	""
"VGN00"	"VGN"	"Perkutan transluminal angioplastik (PTA) eller perkutan subintimal angioplastik (SAP) i tidigare rekonstruktion i eller från visceralartär"	""	""	""	""	""	""
"VGN11"	"VGN"	"Perkutan transluminal angioplastik (PTA) eller perkutan subintimal angioplastik (SAP) i truncus coeliacus"	""	""	""	""	""	""
"VGN23"	"VGN"	"Perkutan transluminal angioplastik (PTA) eller perkutan subintimal angioplastik (SAP) i a. lienalis"	""	""	""	""	""	""
"VGN34"	"VGN"	"Perkutan transluminal angioplastik (PTA) eller perkutan subintimal angioplastik (SAP) i a. mesenterica superior"	""	""	""	""	""	""
"VGN45"	"VGN"	"Perkutan transluminal angioplastik (PTA) eller perkutan subintimal angioplastik (SAP) i a. renalis"	""	""	""	""	""	""
"VGN67"	"VGN"	"Perkutan transluminal angioplastik (PTA) eller perkutan subintimal angioplastik (SAP) i a. mesenterica inferior"	""	""	""	""	""	""
"VGN99"	"VGN"	"Perkutan transluminal angioplastik (PTA) eller perkutan subintimal angioplastik (SAP) i annan visceralartär"	""	""	""	""	""	""
"VGP"	"VG"	"Endovaskulär inläggning av stent i visceralartär"	""	""	""	""	""	""
"VGP00"	"VGP"	"Endovaskulär inläggning av stent i tidigare rekonstruktion i eller från visceralartär"	""	""	""	""	""	""
"VGP11"	"VGP"	"Endovaskulär inläggning av stent i truncus coeliacus"	""	""	""	""	""	""
"VGP23"	"VGP"	"Endovaskulär inläggning av stent i a. lienalis"	""	""	""	""	""	""
"VGP34"	"VGP"	"Endovaskulär inläggning av stent i a. mesenterica superior"	""	""	""	""	""	""
"VGP45"	"VGP"	"Endovaskulär inläggning av stent i a. renalis"	""	""	""	""	""	""
"VGP67"	"VGP"	"Endovaskulär inläggning av stent i a. mesenterica inferior"	""	""	""	""	""	""
"VGP99"	"VGP"	"Endovaskulär inläggning av stent i annan visceralartär"	""	""	""	""	""	""
"VGQ"	"VG"	"Endovaskulär inläggning av stentgraft i visceralartär"	""	""	""	""	""	""
"VGQ00"	"VGQ"	"Endovaskulär inläggning av stentgraft i tidigare rekonstruktion i eller från visceralartär"	""	""	""	""	""	""
"VGQ11"	"VGQ"	"Endovaskulär inläggning av stentgraft i truncus coeliacus"	""	""	""	""	"Endovaskulär revaskularisering av visceralartärer vid aortarekonstruktion, se VBQ16, VBQ26 eller VBQ36"	""
"VGQ23"	"VGQ"	"Endovaskulär inläggning av stentgraft i a. lienalis"	""	""	""	""	""	""
"VGQ34"	"VGQ"	"Endovaskulär inläggning av stentgraft i a. mesenterica superior"	""	""	""	""	""	""
"VGQ45"	"VGQ"	"Endovaskulär inläggning av stentgraft i a. renalis"	""	""	""	""	""	""
"VGQ67"	"VGQ"	"Endovaskulär inläggning av stentgraft i a. mesenterica inferior"	""	""	""	""	""	""
"VGQ99"	"VGQ"	"Endovaskulär inläggning av stentgraft i annan visceralartär"	""	""	""	""	""	""
"VGR"	"VG"	"Lokal trombolys i visceralartär"	""	""	""	""	""	""
"VGR00"	"VGR"	"Lokal trombolys i tidigare rekonstruktion i eller från visceralartär"	""	""	""	""	""	""
"VGR11"	"VGR"	"Lokal trombolys i truncus coeliacus"	""	""	""	""	""	""
"VGR23"	"VGR"	"Lokal trombolys i a. lienalis"	""	""	""	""	""	""
"VGR34"	"VGR"	"Lokal trombolys i a. mesenterica superior"	""	""	""	""	""	""
"VGR45"	"VGR"	"Lokal trombolys i a. renalis"	""	""	""	""	""	""
"VGR67"	"VGR"	"Lokal trombolys i a. mesenterica inferior"	""	""	""	""	""	""
"VGR99"	"VGR"	"Lokal trombolys i annan visceralartär"	""	""	""	""	""	""
"VGT"	"VG"	"Endovaskulär inläggning av ockluderande material i visceralartär"	""	""	""	""	""	""
"VGT00"	"VGT"	"Endovaskulär inläggning av ockluderande material i tidigare rekonstruktion i eller från visceralartär"	""	""	""	""	""	""
"VGT11"	"VGT"	"Endovaskulär inläggning av ockluderande material i truncus coeliacus"	""	""	""	""	""	""
"VGT23"	"VGT"	"Endovaskulär inläggning av ockluderande material i a. lienalis"	""	""	""	""	""	""
"VGT34"	"VGT"	"Endovaskulär inläggning av ockluderande material i a. mesenterica superior"	""	""	""	""	""	""
"VGT45"	"VGT"	"Endovaskulär inläggning av ockluderande material i a. renalis"	""	""	""	""	""	""
"VGT67"	"VGT"	"Endovaskulär inläggning av ockluderande material i a. mesenterica inferior"	""	""	""	""	""	""
"VGT99"	"VGT"	"Endovaskulär inläggning av ockluderande material i annan visceralartär"	""	""	""	""	""	""
"VGU"	"VG"	"Endovaskulärt uttagande av främmande material från visceralartär"	""	""	""	""	""	""
"VGU00"	"VGU"	"Endovaskulärt uttagande av främmande material från tidigare rekonstruktion i eller från visceralartär"	""	""	""	""	""	""
"VGU11"	"VGU"	"Endovaskulärt uttagande av främmande material från truncus coeliacus"	""	""	""	""	""	""
"VGU23"	"VGU"	"Endovaskulärt uttagande av främmande material från a. lienalis"	""	""	""	""	""	""
"VGU34"	"VGU"	"Endovaskulärt uttagande av främmande material från a. mesenterica superior"	""	""	""	""	""	""
"VGU45"	"VGU"	"Endovaskulärt uttagande av främmande material från a. renalis"	""	""	""	""	""	""
"VGU67"	"VGU"	"Endovaskulärt uttagande av främmande material från a. mesenterica inferior"	""	""	""	""	""	""
"VGU99"	"VGU"	"Endovaskulärt uttagande av främmande material från annan visceralartär"	""	""	""	""	""	""
"VGW"	"VG"	"Annan endovaskulär operation i visceralartär"	""	""	""	""	""	""
"VGW00"	"VGW"	"Annan endovaskulär operation i tidigare rekonstruktion i eller från visceralartär"	""	""	""	""	""	""
"VGW11"	"VGW"	"Annan endovaskulär operation i truncus coeliacus"	""	""	""	""	""	""
"VGW23"	"VGW"	"Annan endovaskulär operation i a. lienalis"	""	""	""	""	""	""
"VGW34"	"VGW"	"Annan endovaskulär operation i a. mesenterica superior"	""	""	""	""	""	""
"VGW45"	"VGW"	"Annan endovaskulär operation i a. renalis"	""	""	""	""	""	""
"VGW99"	"VGW"	"Annan endovaskulär operation i annan visceralartär"	""	""	""	""	""	""
"VH"	"V"	"Operationer på a. iliaca"	""	""	""	""	""	""
"VHA"	"VH"	"Öppen exploration av bäckenartär"	""	""	""	""	""	""
"VHA00"	"VHA"	"Öppen exploration av tidigare rekonstruktion i eller från bäckenartär"	""	""	""	""	""	""
"VHA11"	"VHA"	"Öppen exploration av a. iliaca communis"	""	""	""	""	""	""
"VHA21"	"VHA"	"Öppen exploration av a. iliaca externa"	""	""	""	""	""	""
"VHA31"	"VHA"	"Öppen exploration av a. iliaca interna"	""	""	""	""	""	""
"VHA99"	"VHA"	"Öppen exploration av annan bäckenartär"	""	""	""	""	""	""
"VHB"	"VH"	"Sutur på bäckenartär"	""	""	""	""	""	""
"VHB00"	"VHB"	"Sutur på tidigare rekonstruktion i eller från bäckenartär"	""	""	""	""	""	""
"VHB11"	"VHB"	"Sutur på a. iliaca communis"	""	""	""	""	""	""
"VHB21"	"VHB"	"Sutur på a. iliaca externa"	""	""	""	""	""	""
"VHB31"	"VHB"	"Sutur på a. iliaca interna"	""	""	""	""	""	""
"VHB99"	"VHB"	"Sutur på annan bäckenartär"	""	""	""	""	""	""
"VHC"	"VH"	"Ligatur eller delning av bäckenartär"	""	""	""	""	""	""
"VHC00"	"VHC"	"Ligatur eller delning av tidigare rekonstruktion i eller från bäckenartär"	""	""	""	""	""	""
"VHC11"	"VHC"	"Ligatur eller delning av a. iliaca communis"	""	""	""	""	""	""
